PDB_ID,Method,Resolution
3AVJ,X-RAY DIFFRACTION,1.7
3AVK,X-RAY DIFFRACTION,1.75
3AVL,X-RAY DIFFRACTION,1.88
3AVM,X-RAY DIFFRACTION,1.88
3AVN,X-RAY DIFFRACTION,2.1
3AVT,X-RAY DIFFRACTION,2.6
3AVU,X-RAY DIFFRACTION,2.9
3AVV,X-RAY DIFFRACTION,3.1
3AVW,X-RAY DIFFRACTION,2.6
3AVX,X-RAY DIFFRACTION,2.4
3AVY,X-RAY DIFFRACTION,2.6
3B7E,X-RAY DIFFRACTION,1.45
3B7V,X-RAY DIFFRACTION,1.46
3B80,X-RAY DIFFRACTION,1.5
3BBZ,X-RAY DIFFRACTION,2.1
3BDN,X-RAY DIFFRACTION,3.909
3BEQ,X-RAY DIFFRACTION,1.64
3BES,X-RAY DIFFRACTION,2.2
3BGB,X-RAY DIFFRACTION,1.9
3BGC,X-RAY DIFFRACTION,1.8
3BGR,X-RAY DIFFRACTION,2.1
3BHE,X-RAY DIFFRACTION,1.75
3BKD,X-RAY DIFFRACTION,2.0
3BL2,X-RAY DIFFRACTION,2.3
3BP9,X-RAY DIFFRACTION,2.6
3BR9,X-RAY DIFFRACTION,2.3
3BSA,X-RAY DIFFRACTION,2.3
3BSC,X-RAY DIFFRACTION,2.65
3BT6,X-RAY DIFFRACTION,2.6
3BUY,X-RAY DIFFRACTION,2.6
3BVA,X-RAY DIFFRACTION,1.05
3BVB,X-RAY DIFFRACTION,1.3
3BVN,X-RAY DIFFRACTION,2.55
3BWQ,X-RAY DIFFRACTION,2.3
3BWR,X-RAY DIFFRACTION,2.25
3BXR,X-RAY DIFFRACTION,1.6
3BXS,X-RAY DIFFRACTION,1.6
3BY1,X-RAY DIFFRACTION,2.6
3BY2,X-RAY DIFFRACTION,2.6
3C2A,X-RAY DIFFRACTION,2.1
3C2T,X-RAY DIFFRACTION,3.0
3C3I,X-RAY DIFFRACTION,2.4
3C5X,X-RAY DIFFRACTION,2.2
3C6E,X-RAY DIFFRACTION,2.6
3C6T,X-RAY DIFFRACTION,2.7
3C6U,X-RAY DIFFRACTION,2.7
3C9J,X-RAY DIFFRACTION,3.5
3CA9,X-RAY DIFFRACTION,3.0
3CAE,X-RAY DIFFRACTION,3.0
3CDE,X-RAY DIFFRACTION,2.1
3CIZ,X-RAY DIFFRACTION,1.87
3CJ0,X-RAY DIFFRACTION,1.9
3CJ2,X-RAY DIFFRACTION,1.75
3CJ3,X-RAY DIFFRACTION,1.87
3CJ4,X-RAY DIFFRACTION,2.07
3CJ5,X-RAY DIFFRACTION,1.92
3CJI,X-RAY DIFFRACTION,2.3
3CKT,X-RAY DIFFRACTION,1.65
3CL2,X-RAY DIFFRACTION,2.54
3CO9,X-RAY DIFFRACTION,2.1
3CPE,X-RAY DIFFRACTION,2.8
3CQ8,X-RAY DIFFRACTION,2.5
3CRO,X-RAY DIFFRACTION,2.5
3CRX,X-RAY DIFFRACTION,2.7
3CSO,X-RAY DIFFRACTION,2.71
3CSY,X-RAY DIFFRACTION,3.4
3CVK,X-RAY DIFFRACTION,2.31
3CWJ,X-RAY DIFFRACTION,2.4
3CYW,X-RAY DIFFRACTION,1.4
3CYX,X-RAY DIFFRACTION,1.2
3CZ3,X-RAY DIFFRACTION,3.2
3D0V,X-RAY DIFFRACTION,2.03
3D12,X-RAY DIFFRACTION,3.0
3D18,X-RAY DIFFRACTION,1.74
3D1X,X-RAY DIFFRACTION,1.05
3D1Y,X-RAY DIFFRACTION,1.05
3D1Z,X-RAY DIFFRACTION,1.3
3D20,X-RAY DIFFRACTION,1.05
3D26,X-RAY DIFFRACTION,2.3
3D28,X-RAY DIFFRACTION,2.3
3D3D,X-RAY DIFFRACTION,2.6
3D3T,X-RAY DIFFRACTION,2.8
3D5M,X-RAY DIFFRACTION,2.2
3D6R,X-RAY DIFFRACTION,2.0
3DA0,X-RAY DIFFRACTION,1.65
3DCG,X-RAY DIFFRACTION,2.4
3DCK,X-RAY DIFFRACTION,1.8
3DCR,X-RAY DIFFRACTION,1.4
3DDX,ELECTRON MICROSCOPY,N/A
3DF6,X-RAY DIFFRACTION,2.05
3DI6,X-RAY DIFFRACTION,2.65
3DJK,X-RAY DIFFRACTION,1.0
3DJW,X-RAY DIFFRACTION,3.1
3DK1,X-RAY DIFFRACTION,1.07
3DLE,X-RAY DIFFRACTION,2.5
3DLG,X-RAY DIFFRACTION,2.2
3DLK,X-RAY DIFFRACTION,1.85
3DM2,X-RAY DIFFRACTION,3.1
3DMJ,X-RAY DIFFRACTION,2.6
3DNL,ELECTRON MICROSCOPY,N/A
3DNN,ELECTRON MICROSCOPY,N/A
3DNO,ELECTRON MICROSCOPY,N/A
3DOK,X-RAY DIFFRACTION,2.9
3DOL,X-RAY DIFFRACTION,2.5
3DOX,X-RAY DIFFRACTION,2.0
3DPH,X-RAY DIFFRACTION,2.0
3DRO,X-RAY DIFFRACTION,3.9
3DRP,X-RAY DIFFRACTION,2.6
3DRR,X-RAY DIFFRACTION,2.89
3DRS,X-RAY DIFFRACTION,3.15
3DS2,X-RAY DIFFRACTION,1.2
3DS3,X-RAY DIFFRACTION,2.7
3DS4,X-RAY DIFFRACTION,1.12
3DS5,X-RAY DIFFRACTION,2.4
3DTJ,X-RAY DIFFRACTION,4.0
3DVU,X-RAY DIFFRACTION,2.3
3DX6,X-RAY DIFFRACTION,1.701
3DX7,X-RAY DIFFRACTION,1.6
3DX8,X-RAY DIFFRACTION,2.1
3DXA,X-RAY DIFFRACTION,3.5
3DYA,X-RAY DIFFRACTION,2.3
3E01,X-RAY DIFFRACTION,2.95
3E2E,X-RAY DIFFRACTION,2.9
3E3J,X-RAY DIFFRACTION,6.7
3E51,X-RAY DIFFRACTION,1.9
3E6F,X-RAY DIFFRACTION,2.4
3E6H,X-RAY DIFFRACTION,2.13
3E8K,X-RAY DIFFRACTION,3.65
3E90,X-RAY DIFFRACTION,2.45
3EBJ,X-RAY DIFFRACTION,2.2
3EBZ,X-RAY DIFFRACTION,1.2
3EC0,X-RAY DIFFRACTION,1.18
3ECB,X-RAY DIFFRACTION,1.7
3ECG,X-RAY DIFFRACTION,1.18
3EE8,X-RAY DIFFRACTION,2.6
3EE9,X-RAY DIFFRACTION,2.13
3EGD,X-RAY DIFFRACTION,2.7
3EKP,X-RAY DIFFRACTION,2.15
3EKQ,X-RAY DIFFRACTION,2.0
3EKT,X-RAY DIFFRACTION,1.97
3EKV,X-RAY DIFFRACTION,1.75
3EKW,X-RAY DIFFRACTION,1.6
3EKX,X-RAY DIFFRACTION,1.97
3EKY,X-RAY DIFFRACTION,1.8
3EL0,X-RAY DIFFRACTION,2.0
3EL1,X-RAY DIFFRACTION,1.7
3EL4,X-RAY DIFFRACTION,2.0
3EL5,X-RAY DIFFRACTION,1.6
3EL9,X-RAY DIFFRACTION,1.6
3EM3,X-RAY DIFFRACTION,2.2
3EM4,X-RAY DIFFRACTION,2.1
3EM6,X-RAY DIFFRACTION,2.1
3EPC,ELECTRON MICROSCOPY,N/A
3EPD,ELECTRON MICROSCOPY,N/A
3ER8,X-RAY DIFFRACTION,3.18
3ER9,X-RAY DIFFRACTION,2.06
3ERC,X-RAY DIFFRACTION,3.21
3ETI,X-RAY DIFFRACTION,2.2
3EW5,X-RAY DIFFRACTION,3.0
3EWO,X-RAY DIFFRACTION,1.8
3EWP,X-RAY DIFFRACTION,2.0
3EYD,X-RAY DIFFRACTION,2.15
3EYJ,X-RAY DIFFRACTION,2.6
3EYK,X-RAY DIFFRACTION,2.5
3EYM,X-RAY DIFFRACTION,2.8
3F0T,X-RAY DIFFRACTION,2.0
3F62,X-RAY DIFFRACTION,2.0
3F6N,X-RAY DIFFRACTION,3.1
3F9K,X-RAY DIFFRACTION,3.2
3FFI,X-RAY DIFFRACTION,2.6
3FI5,X-RAY DIFFRACTION,1.53
3FIV,X-RAY DIFFRACTION,1.8
3FKE,X-RAY DIFFRACTION,1.4
3FKU,X-RAY DIFFRACTION,3.2
3FOA,X-RAY DIFFRACTION,3.5
3FQK,X-RAY DIFFRACTION,2.2
3FQM,X-RAY DIFFRACTION,1.9
3FQQ,X-RAY DIFFRACTION,2.2
3FSM,X-RAY DIFFRACTION,1.6
3FUS,X-RAY DIFFRACTION,N/A
3FVC,X-RAY DIFFRACTION,3.2
3FX5,X-RAY DIFFRACTION,0.93
3FZ2,X-RAY DIFFRACTION,2.7
3FZB,X-RAY DIFFRACTION,2.8
3G7T,X-RAY DIFFRACTION,3.5
3G86,X-RAY DIFFRACTION,2.2
3GBM,X-RAY DIFFRACTION,2.7
3GBN,X-RAY DIFFRACTION,2.2
3GGA,X-RAY DIFFRACTION,2.5
3GGU,X-RAY DIFFRACTION,1.8
3GGV,X-RAY DIFFRACTION,3.09
3GGX,X-RAY DIFFRACTION,2.7
3GHB,X-RAY DIFFRACTION,2.25
3GHE,X-RAY DIFFRACTION,1.99
3GI4,X-RAY DIFFRACTION,1.85
3GI5,X-RAY DIFFRACTION,1.8
3GI6,X-RAY DIFFRACTION,1.84
3GIV,X-RAY DIFFRACTION,2.0
3GNV,X-RAY DIFFRACTION,2.75
3GNW,X-RAY DIFFRACTION,2.39
3GO1,X-RAY DIFFRACTION,1.88
3GOL,X-RAY DIFFRACTION,2.85
3GPG,X-RAY DIFFRACTION,1.65
3GPO,X-RAY DIFFRACTION,1.9
3GPQ,X-RAY DIFFRACTION,2.0
3GQH,X-RAY DIFFRACTION,1.8
3GSZ,X-RAY DIFFRACTION,1.9
3GUK,X-RAY DIFFRACTION,1.85
3GUL,X-RAY DIFFRACTION,2.07
3GUM,X-RAY DIFFRACTION,2.24
3GUN,X-RAY DIFFRACTION,1.5
3GUO,X-RAY DIFFRACTION,2.16
3GUP,X-RAY DIFFRACTION,1.5
3GUT,X-RAY DIFFRACTION,3.5
3GV2,X-RAY DIFFRACTION,7.0
3GVJ,X-RAY DIFFRACTION,1.4
3GVK,X-RAY DIFFRACTION,1.84
3GVL,X-RAY DIFFRACTION,1.41
3GW6,X-RAY DIFFRACTION,2.6
3GWL,X-RAY DIFFRACTION,2.1
3GWO,X-RAY DIFFRACTION,1.65
3GYN,X-RAY DIFFRACTION,2.15
3H00,X-RAY DIFFRACTION,2.2
3H01,X-RAY DIFFRACTION,1.7
3H2L,X-RAY DIFFRACTION,1.9
3H47,X-RAY DIFFRACTION,1.9
3H4E,X-RAY DIFFRACTION,2.7
3H59,X-RAY DIFFRACTION,2.1
3H5B,X-RAY DIFFRACTION,1.29
3H5S,X-RAY DIFFRACTION,2.0
3H5U,X-RAY DIFFRACTION,1.95
3H7I,X-RAY DIFFRACTION,1.5
3H8J,X-RAY DIFFRACTION,1.8
3H8S,X-RAY DIFFRACTION,2.5
3H8W,X-RAY DIFFRACTION,2.8
3H98,X-RAY DIFFRACTION,1.9
3HAU,X-RAY DIFFRACTION,1.3
3HAW,X-RAY DIFFRACTION,1.3
3HBO,X-RAY DIFFRACTION,1.7
3HDE,X-RAY DIFFRACTION,1.95
3HDF,X-RAY DIFFRACTION,1.7
3HDK,X-RAY DIFFRACTION,1.8
3HHK,X-RAY DIFFRACTION,1.7
3HHW,X-RAY DIFFRACTION,2.7
3HHZ,X-RAY DIFFRACTION,3.5
3HI1,X-RAY DIFFRACTION,2.9
3HKW,X-RAY DIFFRACTION,1.55
3HKY,X-RAY DIFFRACTION,1.9
3HLO,X-RAY DIFFRACTION,1.6
3HMG,X-RAY DIFFRACTION,N/A
3HPG,X-RAY DIFFRACTION,3.28
3HPH,X-RAY DIFFRACTION,2.64
3HS2,X-RAY DIFFRACTION,2.2
3HTO,X-RAY DIFFRACTION,2.95
3HTP,X-RAY DIFFRACTION,2.96
3HTQ,X-RAY DIFFRACTION,2.955
3HTT,X-RAY DIFFRACTION,2.95
3HVO,X-RAY DIFFRACTION,2.0
3HVT,X-RAY DIFFRACTION,N/A
3HW3,X-RAY DIFFRACTION,1.9
3HW4,X-RAY DIFFRACTION,1.9
3HW5,X-RAY DIFFRACTION,1.8
3HW6,X-RAY DIFFRACTION,2.5
3HZC,X-RAY DIFFRACTION,1.45
3I0R,X-RAY DIFFRACTION,2.98
3I0S,X-RAY DIFFRACTION,2.7
3I26,X-RAY DIFFRACTION,1.8
3I27,X-RAY DIFFRACTION,2.0
3I2L,X-RAY DIFFRACTION,1.5
3I50,X-RAY DIFFRACTION,3.0
3I5K,X-RAY DIFFRACTION,1.9
3I6O,X-RAY DIFFRACTION,1.17
3I7E,X-RAY DIFFRACTION,1.7
3I7H,X-RAY DIFFRACTION,2.9
3I7K,X-RAY DIFFRACTION,2.8
3IA9,X-RAY DIFFRACTION,1.3
3IAW,X-RAY DIFFRACTION,1.6
3IDE,X-RAY DIFFRACTION,3.35
3IDX,X-RAY DIFFRACTION,2.5
3IDY,X-RAY DIFFRACTION,3.2
3IG1,X-RAY DIFFRACTION,2.8
3IG9,X-RAY DIFFRACTION,1.9
3IGC,X-RAY DIFFRACTION,2.0
3IGE,X-RAY DIFFRACTION,2.54
3IGV,X-RAY DIFFRACTION,2.6
3IK5,X-RAY DIFFRACTION,2.05
3INB,X-RAY DIFFRACTION,3.1
3IOZ,X-RAY DIFFRACTION,3.7
3IRX,X-RAY DIFFRACTION,2.8
3IS9,X-RAY DIFFRACTION,2.55
3ISN,X-RAY DIFFRACTION,2.5
3IT8,X-RAY DIFFRACTION,2.8
3ITH,X-RAY DIFFRACTION,2.8
3IXA,X-RAY DIFFRACTION,2.1
3IXO,X-RAY DIFFRACTION,1.7
3IXT,X-RAY DIFFRACTION,2.75
3IYW,ELECTRON MICROSCOPY,N/A
3J0C,ELECTRON MICROSCOPY,N/A
3J1P,ELECTRON MICROSCOPY,N/A
3J1S,ELECTRON MICROSCOPY,N/A
3J27,ELECTRON MICROSCOPY,N/A
3J2J,ELECTRON MICROSCOPY,N/A
3J2M,ELECTRON MICROSCOPY,N/A
3J2N,ELECTRON MICROSCOPY,N/A
3J2P,ELECTRON MICROSCOPY,N/A
3J2V,ELECTRON MICROSCOPY,N/A
3J2W,ELECTRON MICROSCOPY,N/A
3J34,ELECTRON MICROSCOPY,N/A
3J42,ELECTRON MICROSCOPY,N/A
3J4F,ELECTRON MICROSCOPY,N/A
3J5M,ELECTRON MICROSCOPY,N/A
3J6R,ELECTRON MICROSCOPY,N/A
3J70,ELECTRON MICROSCOPY,N/A
3J7G,ELECTRON MICROSCOPY,N/A
3J7L,ELECTRON MICROSCOPY,N/A
3J7M,ELECTRON MICROSCOPY,N/A
3J7N,ELECTRON MICROSCOPY,N/A
3J8F,ELECTRON MICROSCOPY,N/A
3J8V,ELECTRON MICROSCOPY,N/A
3J8W,ELECTRON MICROSCOPY,N/A
3J8Z,ELECTRON MICROSCOPY,N/A
3J9B,ELECTRON MICROSCOPY,N/A
3J9D,ELECTRON MICROSCOPY,N/A
3J9F,ELECTRON MICROSCOPY,N/A
3J9X,ELECTRON MICROSCOPY,N/A
3JA7,ELECTRON MICROSCOPY,N/A
3JB4,ELECTRON MICROSCOPY,N/A
3JB8,ELECTRON MICROSCOPY,N/A
3JBA,ELECTRON MICROSCOPY,N/A
3JBC,ELECTRON MICROSCOPY,N/A
3JBD,ELECTRON MICROSCOPY,N/A
3JBE,ELECTRON MICROSCOPY,N/A
3JBF,ELECTRON MICROSCOPY,N/A
3JBG,ELECTRON MICROSCOPY,N/A
3JCA,ELECTRON MICROSCOPY,N/A
3JCB,ELECTRON MICROSCOPY,N/A
3JCC,ELECTRON MICROSCOPY,N/A
3JCL,ELECTRON MICROSCOPY,N/A
3JR6,X-RAY DIFFRACTION,3.0
3JRV,X-RAY DIFFRACTION,1.6
3JSB,X-RAY DIFFRACTION,2.13
3JSM,X-RAY DIFFRACTION,3.0
3JTS,X-RAY DIFFRACTION,2.8
3JTT,X-RAY DIFFRACTION,2.8
3JU4,X-RAY DIFFRACTION,0.98
3JVW,X-RAY DIFFRACTION,1.8
3JVY,X-RAY DIFFRACTION,1.6
3JW2,X-RAY DIFFRACTION,1.8
3JWD,X-RAY DIFFRACTION,2.61
3JXB,X-RAY DIFFRACTION,1.67
3JXC,X-RAY DIFFRACTION,1.9
3JXD,X-RAY DIFFRACTION,2.1
3JYT,X-RAY DIFFRACTION,3.3
3JZT,X-RAY DIFFRACTION,3.9
3K2P,X-RAY DIFFRACTION,2.04
3K33,X-RAY DIFFRACTION,2.4
3K36,X-RAY DIFFRACTION,2.2
3K37,X-RAY DIFFRACTION,2.0
3K38,X-RAY DIFFRACTION,2.19
3K39,X-RAY DIFFRACTION,2.3
3K3A,X-RAY DIFFRACTION,2.25
3K4T,X-RAY DIFFRACTION,2.59
3K4V,X-RAY DIFFRACTION,1.39
3K7B,X-RAY DIFFRACTION,2.1
3KA2,X-RAY DIFFRACTION,1.4
3KAS,X-RAY DIFFRACTION,2.4
3KD1,X-RAY DIFFRACTION,2.66
3KD5,X-RAY DIFFRACTION,2.7
3KDB,X-RAY DIFFRACTION,1.66
3KDC,X-RAY DIFFRACTION,2.2
3KDD,X-RAY DIFFRACTION,1.8
3KEE,X-RAY DIFFRACTION,2.4
3KF0,X-RAY DIFFRACTION,1.8
3KF2,X-RAY DIFFRACTION,2.5
3KFN,X-RAY DIFFRACTION,1.77
3KFR,X-RAY DIFFRACTION,1.15
3KFS,X-RAY DIFFRACTION,1.8
3KH2,X-RAY DIFFRACTION,2.7
3KHW,X-RAY DIFFRACTION,2.1
3KIC,X-RAY DIFFRACTION,2.6
3KIE,X-RAY DIFFRACTION,3.0
3KJV,X-RAY DIFFRACTION,3.1
3KK1,X-RAY DIFFRACTION,2.7
3KK2,X-RAY DIFFRACTION,2.9
3KK3,X-RAY DIFFRACTION,2.9
3KLE,X-RAY DIFFRACTION,3.2
3KLF,X-RAY DIFFRACTION,3.15
3KLG,X-RAY DIFFRACTION,3.65
3KLH,X-RAY DIFFRACTION,2.9
3KLI,X-RAY DIFFRACTION,2.6
3KMA,X-RAY DIFFRACTION,1.6
3KML,X-RAY DIFFRACTION,3.0
3KMT,X-RAY DIFFRACTION,1.78
3KN2,X-RAY DIFFRACTION,2.3
3KNX,X-RAY DIFFRACTION,2.6
3KPE,X-RAY DIFFRACTION,1.47
3KS4,X-RAY DIFFRACTION,2.4
3KS8,X-RAY DIFFRACTION,2.28
3KT2,X-RAY DIFFRACTION,1.65
3KT5,X-RAY DIFFRACTION,1.801
3KU3,X-RAY DIFFRACTION,1.5
3KU5,X-RAY DIFFRACTION,1.73
3KU6,X-RAY DIFFRACTION,1.75
3KWI,X-RAY DIFFRACTION,2.21
3KWW,X-RAY DIFFRACTION,2.18
3KXF,X-RAY DIFFRACTION,3.1
3KXS,X-RAY DIFFRACTION,2.25
3KZ3,X-RAY DIFFRACTION,1.64
3L25,X-RAY DIFFRACTION,2.0
3L26,X-RAY DIFFRACTION,2.4
3L27,X-RAY DIFFRACTION,1.95
3L28,X-RAY DIFFRACTION,2.4
3L29,X-RAY DIFFRACTION,1.7
3L2Q,X-RAY DIFFRACTION,3.25
3L2R,X-RAY DIFFRACTION,2.88
3L2U,X-RAY DIFFRACTION,3.15
3L2V,X-RAY DIFFRACTION,3.2
3L2W,X-RAY DIFFRACTION,3.2
3L32,X-RAY DIFFRACTION,1.5
3L3H,X-RAY DIFFRACTION,2.7
3L3U,X-RAY DIFFRACTION,1.4
3L3V,X-RAY DIFFRACTION,2.0
3L4Q,X-RAY DIFFRACTION,2.3
3L56,X-RAY DIFFRACTION,2.3
3L6P,X-RAY DIFFRACTION,2.2
3L8B,X-RAY DIFFRACTION,2.15
3LAK,X-RAY DIFFRACTION,2.3
3LAL,X-RAY DIFFRACTION,2.5
3LAM,X-RAY DIFFRACTION,2.75
3LAN,X-RAY DIFFRACTION,2.55
3LBW,X-RAY DIFFRACTION,1.65
3LDS,X-RAY DIFFRACTION,3.0
3LEX,X-RAY DIFFRACTION,1.96
3LEY,X-RAY DIFFRACTION,1.98
3LIN,X-RAY DIFFRACTION,1.96
3LIQ,X-RAY DIFFRACTION,2.29
3LIT,X-RAY DIFFRACTION,2.19
3LIV,X-RAY DIFFRACTION,2.59
3LIX,X-RAY DIFFRACTION,2.7
3LIY,X-RAY DIFFRACTION,1.86
3LJ5,X-RAY DIFFRACTION,7.497
3LKH,X-RAY DIFFRACTION,2.05
3LKW,X-RAY DIFFRACTION,1.99
3LOB,X-RAY DIFFRACTION,3.6
3LON,X-RAY DIFFRACTION,2.2
3LOX,X-RAY DIFFRACTION,2.65
3LP0,X-RAY DIFFRACTION,2.79
3LP1,X-RAY DIFFRACTION,2.23
3LP2,X-RAY DIFFRACTION,2.7
3LP3,X-RAY DIFFRACTION,2.8
3LPH,X-RAY DIFFRACTION,2.5
3LQ6,X-RAY DIFFRACTION,2.0
3LQA,X-RAY DIFFRACTION,3.4
3LRY,X-RAY DIFFRACTION,1.98
3LYF,X-RAY DIFFRACTION,1.93
3LZF,X-RAY DIFFRACTION,2.8
3LZG,X-RAY DIFFRACTION,2.6
3LZI,X-RAY DIFFRACTION,2.3
3LZJ,X-RAY DIFFRACTION,2.05
3LZS,X-RAY DIFFRACTION,1.95
3LZU,X-RAY DIFFRACTION,1.76
3LZV,X-RAY DIFFRACTION,2.15
3M1C,X-RAY DIFFRACTION,2.84
3M5G,X-RAY DIFFRACTION,2.6
3M5H,X-RAY DIFFRACTION,2.7
3M5I,X-RAY DIFFRACTION,3.0
3M5J,X-RAY DIFFRACTION,2.6
3M5R,X-RAY DIFFRACTION,2.0
3M6S,X-RAY DIFFRACTION,2.8
3M8A,X-RAY DIFFRACTION,2.1
3M8P,X-RAY DIFFRACTION,2.29
3M8Q,X-RAY DIFFRACTION,2.7
3M9F,X-RAY DIFFRACTION,1.8
3MA9,X-RAY DIFFRACTION,2.05
3MAC,X-RAY DIFFRACTION,2.5
3MD2,X-RAY DIFFRACTION,2.2
3MEC,X-RAY DIFFRACTION,2.3
3MED,X-RAY DIFFRACTION,2.5
3MEE,X-RAY DIFFRACTION,2.4
3MEG,X-RAY DIFFRACTION,2.8
3MF5,X-RAY DIFFRACTION,2.0
3MGE,X-RAY DIFFRACTION,1.9
3MGO,X-RAY DIFFRACTION,2.297
3MGT,X-RAY DIFFRACTION,2.197
3MGV,X-RAY DIFFRACTION,2.29
3MI9,X-RAY DIFFRACTION,2.1
3MIA,X-RAY DIFFRACTION,3.0
3MLH,X-RAY DIFFRACTION,2.1
3MLR,X-RAY DIFFRACTION,1.8
3MLT,X-RAY DIFFRACTION,2.49
3MLU,X-RAY DIFFRACTION,2.77
3MLV,X-RAY DIFFRACTION,2.48
3MLW,X-RAY DIFFRACTION,2.7
3MLX,X-RAY DIFFRACTION,1.9
3MLY,X-RAY DIFFRACTION,1.7
3MLZ,X-RAY DIFFRACTION,2.99
3MMG,X-RAY DIFFRACTION,1.7
3MMP,X-RAY DIFFRACTION,2.5
3MNW,X-RAY DIFFRACTION,2.2
3MNZ,X-RAY DIFFRACTION,1.8
3MOA,X-RAY DIFFRACTION,2.3
3MOB,X-RAY DIFFRACTION,2.6
3MOD,X-RAY DIFFRACTION,2.2
3MRE,X-RAY DIFFRACTION,1.1
3MRF,X-RAY DIFFRACTION,2.3
3MRG,X-RAY DIFFRACTION,1.3
3MRH,X-RAY DIFFRACTION,2.4
3MRI,X-RAY DIFFRACTION,2.1
3MRJ,X-RAY DIFFRACTION,1.87
3MRL,X-RAY DIFFRACTION,2.4
3MRM,X-RAY DIFFRACTION,1.9
3MRN,X-RAY DIFFRACTION,2.3
3MTU,X-RAY DIFFRACTION,2.1
3MUU,X-RAY DIFFRACTION,3.3
3MV7,X-RAY DIFFRACTION,2.0
3MV8,X-RAY DIFFRACTION,2.1
3MV9,X-RAY DIFFRACTION,2.7
3MWP,X-RAY DIFFRACTION,1.782
3MWS,X-RAY DIFFRACTION,1.09
3MWT,X-RAY DIFFRACTION,1.98
3MWV,X-RAY DIFFRACTION,2.2
3MWW,X-RAY DIFFRACTION,2.8
3MX2,X-RAY DIFFRACTION,1.98
3MX5,X-RAY DIFFRACTION,1.903
3MXD,X-RAY DIFFRACTION,1.95
3MXE,X-RAY DIFFRACTION,1.85
3N27,X-RAY DIFFRACTION,1.8
3N3I,X-RAY DIFFRACTION,2.5
3N40,X-RAY DIFFRACTION,2.17
3N41,X-RAY DIFFRACTION,3.0
3N42,X-RAY DIFFRACTION,3.0
3N43,X-RAY DIFFRACTION,2.58
3N44,X-RAY DIFFRACTION,2.35
3NAE,X-RAY DIFFRACTION,2.0
3NAH,X-RAY DIFFRACTION,2.75
3NAI,X-RAY DIFFRACTION,2.55
3NAP,X-RAY DIFFRACTION,2.5
3NBP,X-RAY DIFFRACTION,2.95
3NCI,X-RAY DIFFRACTION,1.79
3NDK,X-RAY DIFFRACTION,2.0
3NDT,X-RAY DIFFRACTION,1.72
3NDU,X-RAY DIFFRACTION,1.25
3NDW,X-RAY DIFFRACTION,1.14
3NDX,X-RAY DIFFRACTION,1.03
3NE6,X-RAY DIFFRACTION,2.0
3NF6,X-RAY DIFFRACTION,1.9
3NF7,X-RAY DIFFRACTION,1.8
3NF8,X-RAY DIFFRACTION,1.9
3NF9,X-RAY DIFFRACTION,1.9
3NFA,X-RAY DIFFRACTION,1.95
3NFK,X-RAY DIFFRACTION,1.43
3NFN,X-RAY DIFFRACTION,2.392
3NG9,X-RAY DIFFRACTION,2.5
3NGB,X-RAY DIFFRACTION,2.68
3NGI,X-RAY DIFFRACTION,1.88
3NHG,X-RAY DIFFRACTION,2.5
3NJQ,X-RAY DIFFRACTION,2.0
3NLS,X-RAY DIFFRACTION,1.7
3NNQ,X-RAY DIFFRACTION,2.693
3NR6,X-RAY DIFFRACTION,1.97
3NSS,X-RAY DIFFRACTION,1.9
3NTE,X-RAY DIFFRACTION,1.95
3NU3,X-RAY DIFFRACTION,1.02
3NU4,X-RAY DIFFRACTION,1.2
3NU5,X-RAY DIFFRACTION,1.29
3NU6,X-RAY DIFFRACTION,1.16
3NU9,X-RAY DIFFRACTION,1.85
3NUJ,X-RAY DIFFRACTION,1.5
3NUO,X-RAY DIFFRACTION,1.35
3NW8,X-RAY DIFFRACTION,2.75903
3NWA,X-RAY DIFFRACTION,2.2629
3NWD,X-RAY DIFFRACTION,2.88026
3NWF,X-RAY DIFFRACTION,2.8
3NWQ,X-RAY DIFFRACTION,1.5
3NWX,X-RAY DIFFRACTION,1.9
3NXD,X-RAY DIFFRACTION,2.0
3NXE,X-RAY DIFFRACTION,1.6
3NXG,X-RAY DIFFRACTION,1.95
3NXN,X-RAY DIFFRACTION,1.8
3NYG,X-RAY DIFFRACTION,1.45
3O41,X-RAY DIFFRACTION,1.95
3O45,X-RAY DIFFRACTION,2.87
3O4L,X-RAY DIFFRACTION,2.54
3O4N,X-RAY DIFFRACTION,1.8
3O6L,X-RAY DIFFRACTION,2.1
3O6M,X-RAY DIFFRACTION,2.4
3O8B,X-RAY DIFFRACTION,1.95
3O8C,X-RAY DIFFRACTION,2.0
3O8D,X-RAY DIFFRACTION,2.05
3O8R,X-RAY DIFFRACTION,2.3
3O99,X-RAY DIFFRACTION,1.95
3O9A,X-RAY DIFFRACTION,1.9
3O9B,X-RAY DIFFRACTION,1.5
3O9C,X-RAY DIFFRACTION,1.85
3O9D,X-RAY DIFFRACTION,1.85
3O9E,X-RAY DIFFRACTION,1.5
3O9F,X-RAY DIFFRACTION,1.7
3O9G,X-RAY DIFFRACTION,1.65
3O9H,X-RAY DIFFRACTION,1.7
3O9I,X-RAY DIFFRACTION,1.45
3O9Q,X-RAY DIFFRACTION,2.5
3O9R,X-RAY DIFFRACTION,2.0
3O9S,X-RAY DIFFRACTION,2.48
3O9T,X-RAY DIFFRACTION,2.2
3O9U,X-RAY DIFFRACTION,3.2
